,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
434,"1 BHK Flat for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor8 out of 11,"₹23,500"
435,"4 BHK Flat for Rent in Boat Club Road, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,Carpet Area3000 sqft,Floor3 out of 5,₹1.9 Lac
436,"4 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom6,,AvailabilityImmediately,Carpet Area2560 sqft,FloorLower Basement out of 12,₹1.7 Lac
437,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor1 out of 1,"₹35,000"
438,"3 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor3 out of 7,"₹30,000"
439,"2 BHK Flat for Rent in Viman Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor7 out of 9,"₹45,000"
440,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area720 sqft,Floor10 out of 14,"₹23,000"
441,"1 BHK Flat for Rent in Hadapsar, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor4 out of 5,"₹23,500"
442,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingSemi-Furnished,Bathroom4,,AvailabilityImmediately,,Floor4 out of 5,₹1 Lac
443,"2 BHK Flat for Rent in Punvale Bazar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor25 out of 27,"₹22,000"
444,"1 BHK Flat for Rent in Mahalunge, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area460 sqft,,"₹19,000"
445,"3 BHK Flat for Rent in Model Colony, Shivaji Nagar, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityFrom Apr '25,Carpet Area1250 sqft,Floor5 out of 12,"₹62,000"
446,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor2 out of 11,"₹31,000"
447,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area873 sqft,Floor12 out of 18,"₹39,500"
448,"3 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor4 out of 27,"₹28,000"
449,"3 BHK Flat for Rent in Vishrantwadi, Airport Road, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1193 sqft,Floor5 out of 11,"₹43,000"
